value,datetime
581423.444,2013-01-01T00:00:00.000+01:00
730434.573,2013-01-02T00:00:00.000+01:00
764201.372,2013-01-03T00:00:00.000+01:00
760902.02,2013-01-04T00:00:00.000+01:00
684806.211,2013-01-05T00:00:00.000+01:00
623967.041,2013-01-06T00:00:00.000+01:00
715975.219,2013-01-07T00:00:00.000+01:00
811354.813,2013-01-08T00:00:00.000+01:00
826810.064,2013-01-09T00:00:00.000+01:00
815089.532,2013-01-10T00:00:00.000+01:00
802819.203,2013-01-11T00:00:00.000+01:00
719353.76,2013-01-12T00:00:00.000+01:00
681363.796,2013-01-13T00:00:00.000+01:00
814785.753,2013-01-14T00:00:00.000+01:00
834696.443,2013-01-15T00:00:00.000+01:00
839515.053,2013-01-16T00:00:00.000+01:00
817775.578,2013-01-17T00:00:00.000+01:00
807420.472,2013-01-18T00:00:00.000+01:00
722947.386,2013-01-19T00:00:00.000+01:00
678373.458,2013-01-20T00:00:00.000+01:00
801764.131,2013-01-21T00:00:00.000+01:00
844409.328,2013-01-22T00:00:00.000+01:00
847769.301,2013-01-23T00:00:00.000+01:00
832737.562,2013-01-24T00:00:00.000+01:00
818434.475,2013-01-25T00:00:00.000+01:00
717680.764,2013-01-26T00:00:00.000+01:00
671157.928,2013-01-27T00:00:00.000+01:00
787520.883,2013-01-28T00:00:00.000+01:00
801648.115,2013-01-29T00:00:00.000+01:00
795016.631,2013-01-30T00:00:00.000+01:00
781285.879,2013-01-31T00:00:00.000+01:00
774265.298,2013-02-01T00:00:00.000+01:00
705966.312,2013-02-02T00:00:00.000+01:00
662715.778,2013-02-03T00:00:00.000+01:00
785117.609,2013-02-04T00:00:00.000+01:00
792778.825,2013-02-05T00:00:00.000+01:00
807976.245,2013-02-06T00:00:00.000+01:00
816800.101,2013-02-07T00:00:00.000+01:00
815858.11,2013-02-08T00:00:00.000+01:00
732072.089,2013-02-09T00:00:00.000+01:00
683070.084,2013-02-10T00:00:00.000+01:00
812146.568,2013-02-11T00:00:00.000+01:00
819488.938,2013-02-12T00:00:00.000+01:00
812187.674,2013-02-13T00:00:00.000+01:00
793794.68,2013-02-14T00:00:00.000+01:00
778884.22,2013-02-15T00:00:00.000+01:00
704779.528,2013-02-16T00:00:00.000+01:00
658932.273,2013-02-17T00:00:00.000+01:00
768945.761,2013-02-18T00:00:00.000+01:00
793695.447,2013-02-19T00:00:00.000+01:00
782484.357,2013-02-20T00:00:00.000+01:00
786310.911,2013-02-21T00:00:00.000+01:00
788440.074,2013-02-22T00:00:00.000+01:00
725757.55,2013-02-23T00:00:00.000+01:00
681730.665,2013-02-24T00:00:00.000+01:00
819832.381,2013-02-25T00:00:00.000+01:00
838268.534,2013-02-26T00:00:00.000+01:00
848126.626,2013-02-27T00:00:00.000+01:00
842562.683,2013-02-28T00:00:00.000+01:00
830604.427,2013-03-01T00:00:00.000+01:00
721038.688,2013-03-02T00:00:00.000+01:00
663923.619,2013-03-03T00:00:00.000+01:00
