valueAndalucia,valueAragon,valueCantabria,valueCastilla_la_Mancha,valueCastilla_y_Leon,valueCataluña,valuePais_Vasco,valuePrincipado_de_Asturias,valueComunidad_de_Ceuta,valueComunidad_de_Melilla,valueComunidad_de_Madrid,valueComunidad_de_Navarra,valueComunidad_Valenciana,valueExtremadura,valueGalicia,valueIslas_Baleares,valueIslas_Canarias,valueLa_Rioja,valueRegion_de_Murcia,datetime
3427297.594,898060.795,381780.48,1064945.693,1261244.11,4219945.354,1541127.092,916680.371,17905.936,17900.58,2891002.527,425589.937,2331743.567,451182.995,1820899.175,445255.331,732193.363,158742.347,729942.927,2013-01-01T00:00:00.000+01:00
3083174.576,832999.627,347417.231,968570.578,1156059.39,3829246.735,1453298.985,867681.176,15557.015,16183.376,2595560.547,397391.49,2110489.553,403783.91,1663698.12,423302.576,659622.834,144191.132,664760.521,2013-02-01T00:00:00.000+01:00
3212191.344,864078.744,395455.17,1003695.43,1189623.722,3920760.869,1489392.103,926356.599,15413.311,16450.199,2600432.394,401589.864,2135272.259,412259.793,1787324.854,424149.882,710430.058,147648.059,677454.887,2013-03-01T00:00:00.000+01:00
2901513.809,814430.915,371950.663,898068.416,1078989.956,3666174.022,1416858.772,871409.11,14575.253,15878.106,2325172.226,385948.972,1941958.478,363412.333,1643777.506,396589.997,696165.884,135652.581,638919.963,2013-04-01T00:00:00.000+02:00
2917381.049,814790.779,371184.79,863792.306,1079737.788,3685534.828,1410943.42,868805.573,15700.989,16671.456,2246814.627,401388.602,1994619.804,353440.15,1625408.805,441050.414,702600.676,135466.656,636011.008,2013-05-01T00:00:00.000+02:00
2960957.06,800025.236,349323.222,934504.411,1035931.972,3605123.034,1314971.13,812008.268,15762.798,16558.906,2227970.521,381856.99,2016501.267,367179.348,1509231.256,479132.438,682878.853,124894.952,665661.124,2013-06-01T00:00:00.000+02:00
3476416.085,878547.932,366193.256,1083909.235,1187613.493,4187494.708,1240600.169,861619.193,17866.711,18852.426,2588329.982,399801.093,2424151.795,436739.601,1565179.787,620748.467,747655.32,150717.907,767954.006,2013-07-01T00:00:00.000+02:00
3536562.116,850802.308,361008.342,1047742.265,1117610.079,3828631.712,1119678.025,812652.814,18953.246,20344.713,2372558.162,374473.218,2219507.704,465167.882,1597169.876,631293.821,767882.086,132332.1,750689.002,2013-08-01T00:00:00.000+02:00
3109624.421,823898.202,351812.241,915857.287,1059889.944,3729089.502,1347552.623,825805.347,17326.921,18279.828,2226990.476,384812.728,2108434.768,416337.668,1555877.638,512266.638,720893.901,132217.045,670936.979,2013-09-01T00:00:00.000+02:00
2965423.344,813542.588,354973.728,859311.69,1086987.985,3769569.752,1426407.831,861454.143,16943.323,17794.537,2256704.242,410002.493,2114148.313,373209.052,1625265.158,461792.615,747649.715,142817.457,687807.444,2013-10-01T00:00:00.000+02:00
