value,datetime
20.02,2014-01-01T00:00:00.000+01:00
10.34,2014-01-01T01:00:00.000+01:00
5.35,2014-01-01T02:00:00.000+01:00
5.0,2014-01-01T03:00:00.000+01:00
0.5,2014-01-01T04:00:00.000+01:00
0.0,2014-01-01T05:00:00.000+01:00
0.0,2014-01-01T06:00:00.000+01:00
0.0,2014-01-01T07:00:00.000+01:00
0.0,2014-01-01T08:00:00.000+01:00
0.0,2014-01-01T09:00:00.000+01:00
2.0,2014-01-01T10:00:00.000+01:00
4.75,2014-01-01T11:00:00.000+01:00
5.35,2014-01-01T12:00:00.000+01:00
4.9,2014-01-01T13:00:00.000+01:00
0.9,2014-01-01T14:00:00.000+01:00
0.0,2014-01-01T15:00:00.000+01:00
0.0,2014-01-01T16:00:00.000+01:00
0.0,2014-01-01T17:00:00.000+01:00
5.0,2014-01-01T18:00:00.000+01:00
7.8,2014-01-01T19:00:00.000+01:00
18.9,2014-01-01T20:00:00.000+01:00
20.0,2014-01-01T21:00:00.000+01:00
20.0,2014-01-01T22:00:00.000+01:00
8.6,2014-01-01T23:00:00.000+01:00
5.13,2014-01-02T00:00:00.000+01:00
0.0,2014-01-02T01:00:00.000+01:00
0.0,2014-01-02T02:00:00.000+01:00
0.0,2014-01-02T03:00:00.000+01:00
0.0,2014-01-02T04:00:00.000+01:00
0.0,2014-01-02T05:00:00.000+01:00
0.0,2014-01-02T06:00:00.000+01:00
18.9,2014-01-02T07:00:00.000+01:00
27.2,2014-01-02T08:00:00.000+01:00
36.0,2014-01-02T09:00:00.000+01:00
40.13,2014-01-02T10:00:00.000+01:00
40.88,2014-01-02T11:00:00.000+01:00
41.65,2014-01-02T12:00:00.000+01:00
39.18,2014-01-02T13:00:00.000+01:00
35.2,2014-01-02T14:00:00.000+01:00
34.87,2014-01-02T15:00:00.000+01:00
30.0,2014-01-02T16:00:00.000+01:00
37.12,2014-01-02T17:00:00.000+01:00
41.39,2014-01-02T18:00:00.000+01:00
40.88,2014-01-02T19:00:00.000+01:00
40.88,2014-01-02T20:00:00.000+01:00
37.12,2014-01-02T21:00:00.000+01:00
35.11,2014-01-02T22:00:00.000+01:00
25.1,2014-01-02T23:00:00.000+01:00
15.3,2014-01-03T00:00:00.000+01:00
5.13,2014-01-03T01:00:00.000+01:00
0.0,2014-01-03T02:00:00.000+01:00
0.0,2014-01-03T03:00:00.000+01:00
0.0,2014-01-03T04:00:00.000+01:00
0.0,2014-01-03T05:00:00.000+01:00
2.0,2014-01-03T06:00:00.000+01:00
27.0,2014-01-03T07:00:00.000+01:00
37.02,2014-01-03T08:00:00.000+01:00
42.0,2014-01-03T09:00:00.000+01:00
45.03,2014-01-03T10:00:00.000+01:00
45.0,2014-01-03T11:00:00.000+01:00
45.5,2014-01-03T12:00:00.000+01:00
42.4,2014-01-03T13:00:00.000+01:00
37.25,2014-01-03T14:00:00.000+01:00
37.02,2014-01-03T15:00:00.000+01:00
42.34,2014-01-03T16:00:00.000+01:00
50.42,2014-01-03T17:00:00.000+01:00
92.1,2014-01-03T18:00:00.000+01:00
96.3,2014-01-03T19:00:00.000+01:00
94.9,2014-01-03T20:00:00.000+01:00
94.6,2014-01-03T21:00:00.000+01:00
58.01,2014-01-03T22:00:00.000+01:00
48.86,2014-01-03T23:00:00.000+01:00
21.5,2014-01-04T00:00:00.000+01:00
8.5,2014-01-04T01:00:00.000+01:00
2.5,2014-01-04T02:00:00.000+01:00
0.0,2014-01-04T03:00:00.000+01:00
