value,datetime
23733440.188,2013-01-01T00:00:00.000+01:00
21632989.321,2013-02-01T00:00:00.000+01:00
22329979.335,2013-03-01T00:00:00.000+01:00
20577446.671,2013-04-01T00:00:00.000+02:00
20581343.72,2013-05-01T00:00:00.000+02:00
20300472.917,2013-06-01T00:00:00.000+02:00
23020391.394,2013-07-01T00:00:00.000+02:00
22025059.641,2013-08-01T00:00:00.000+02:00
20927904.266,2013-09-01T00:00:00.000+02:00
20991805.413,2013-10-01T00:00:00.000+02:00
21574155.292,2013-11-01T00:00:00.000+01:00
22903345.813,2013-12-01T00:00:00.000+01:00
23201370.657,2014-01-01T00:00:00.000+01:00
21412522.674,2014-02-01T00:00:00.000+01:00
22038118.621,2014-03-01T00:00:00.000+01:00
19866570.853,2014-04-01T00:00:00.000+02:00
20616662.364,2014-05-01T00:00:00.000+02:00
20786958.78,2014-06-01T00:00:00.000+02:00
22425032.74,2014-07-01T00:00:00.000+02:00
21552723.9,2014-08-01T00:00:00.000+02:00
21587349.519,2014-09-01T00:00:00.000+02:00
20912877.46,2014-10-01T00:00:00.000+02:00
20850574.617,2014-11-01T00:00:00.000+01:00
22469091.873,2014-12-01T00:00:00.000+01:00
23850778.461,2015-01-01T00:00:00.000+01:00
22079124.302,2015-02-01T00:00:00.000+01:00
22320622.539,2015-03-01T00:00:00.000+01:00
19913745.874,2015-04-01T00:00:00.000+02:00
21024442.075,2015-05-01T00:00:00.000+02:00
21582825.532,2015-06-01T00:00:00.000+02:00
24945739.132,2015-07-01T00:00:00.000+02:00
22320043.801,2015-08-01T00:00:00.000+02:00
20847347.127,2015-09-01T00:00:00.000+02:00
20958912.994,2015-10-01T00:00:00.000+02:00
20962118.846,2015-11-01T00:00:00.000+01:00
22002733.827,2015-12-01T00:00:00.000+01:00
22633024.584,2016-01-01T00:00:00.000+01:00
21910406.418,2016-02-01T00:00:00.000+01:00
22629709.348,2016-03-01T00:00:00.000+01:00
21036197.793,2016-04-01T00:00:00.000+02:00
20894058.89,2016-05-01T00:00:00.000+02:00
21490285.646,2016-06-01T00:00:00.000+02:00
23643270.503,2016-07-01T00:00:00.000+02:00
22906879.569,2016-08-01T00:00:00.000+02:00
22162857.287,2016-09-01T00:00:00.000+02:00
21092114.112,2016-10-01T00:00:00.000+02:00
21768973.539,2016-11-01T00:00:00.000+01:00
22498372.167,2016-12-01T00:00:00.000+01:00
24338223.392,2017-01-01T00:00:00.000+01:00
21051453.155,2017-02-01T00:00:00.000+01:00
22265173.55,2017-03-01T00:00:00.000+01:00
20113934.14,2017-04-01T00:00:00.000+02:00
21449085.436,2017-05-01T00:00:00.000+02:00
23023921.621,2017-06-01T00:00:00.000+02:00
23898005.519,2017-07-01T00:00:00.000+02:00
23322269.036,2017-08-01T00:00:00.000+02:00
21476056.885,2017-09-01T00:00:00.000+02:00
21458915.372,2017-10-01T00:00:00.000+02:00
22073731.522,2017-11-01T00:00:00.000+01:00
23396400.654,2017-12-01T00:00:00.000+01:00
23824297.384,2018-01-01T00:00:00.000+01:00
22448928.221,2018-02-01T00:00:00.000+01:00
23301538.223,2018-03-01T00:00:00.000+01:00
21088079.749,2018-04-01T00:00:00.000+02:00
21308320.324,2018-05-01T00:00:00.000+02:00
21613126.417,2018-06-01T00:00:00.000+02:00
23661798.238,2018-07-01T00:00:00.000+02:00
23509928.797,2018-08-01T00:00:00.000+02:00
22122622.526,2018-09-01T00:00:00.000+02:00
21579639.23,2018-10-01T00:00:00.000+02:00
22054390.403,2018-11-01T00:00:00.000+01:00
22373111.296,2018-12-01T00:00:00.000+01:00
24566154.547,2019-01-01T00:00:00.000+01:00
21280529.205,2019-02-01T00:00:00.000+01:00
21935545.636,2019-03-01T00:00:00.000+01:00
20692209.649,2019-04-01T00:00:00.000+02:00
21134292.129,2019-05-01T00:00:00.000+02:00
21258958.649,2019-06-01T00:00:00.000+02:00
24223991.17,2019-07-01T00:00:00.000+02:00
22710929.179,2019-08-01T00:00:00.000+02:00
21297712.005,2019-09-01T00:00:00.000+02:00
21454847.17,2019-10-01T00:00:00.000+02:00
21997760.931,2019-11-01T00:00:00.000+01:00
22110920.732,2019-12-01T00:00:00.000+01:00
23826282.724,2020-01-01T00:00:00.000+01:00
20980969.957,2020-02-01T00:00:00.000+01:00
20926733.362,2020-03-01T00:00:00.000+01:00
17060911.994,2020-04-01T00:00:00.000+02:00
18308083.84,2020-05-01T00:00:00.000+02:00
19358582.116,2020-06-01T00:00:00.000+02:00
23194421.105,2020-07-01T00:00:00.000+02:00
22065111.348,2020-08-01T00:00:00.000+02:00
20498509.843,2020-09-01T00:00:00.000+02:00
20693485.205,2020-10-01T00:00:00.000+02:00
20698566.523,2020-11-01T00:00:00.000+01:00
22438961.596,2020-12-01T00:00:00.000+01:00
23909484.894,2021-01-01T00:00:00.000+01:00
20182155.276,2021-02-01T00:00:00.000+01:00
21823050.887,2021-03-01T00:00:00.000+01:00
19940221.825,2021-04-01T00:00:00.000+02:00
20346648.964,2021-05-01T00:00:00.000+02:00
20728356.541,2021-06-01T00:00:00.000+02:00
22922255.761,2021-07-01T00:00:00.000+02:00
22059793.279,2021-08-01T00:00:00.000+02:00
20972956.058,2021-09-01T00:00:00.000+02:00
20197477.971,2021-10-01T00:00:00.000+02:00
21433492.692,2021-11-01T00:00:00.000+01:00
22029944.637,2021-12-01T00:00:00.000+01:00
22729295.932,2022-01-01T00:00:00.000+01:00
20168155.371,2022-02-01T00:00:00.000+01:00
21466615.504,2022-03-01T00:00:00.000+01:00
19567537.86,2022-04-01T00:00:00.000+02:00
20327228.9,2022-05-01T00:00:00.000+02:00
21316388.151,2022-06-01T00:00:00.000+02:00
23620487.099,2022-07-01T00:00:00.000+02:00
22008528.047,2022-08-01T00:00:00.000+02:00
20304246.724,2022-09-01T00:00:00.000+02:00
19314992.467,2022-10-01T00:00:00.000+02:00
