value,datetime
38674,2014-01-21T19:54:00.000+01:00
38948,2014-02-04T20:18:00.000+01:00
37286,2014-03-04T20:18:00.000+01:00
34503,2014-04-03T21:15:00.000+02:00
32312,2014-05-21T13:20:00.000+02:00
35176,2014-06-13T13:24:00.000+02:00
37299,2014-07-17T13:21:00.000+02:00
36625,2014-08-27T13:46:00.000+02:00
37192,2014-09-02T13:27:00.000+02:00
34078,2014-10-21T20:23:00.000+02:00
36097,2014-11-18T19:52:00.000+01:00
38268,2014-12-09T19:56:00.000+01:00
40613,2015-01-20T19:55:00.000+01:00
40726,2015-02-04T19:56:00.000+01:00
37058,2015-03-23T20:42:00.000+01:00
33563,2015-04-09T21:16:00.000+02:00
34629,2015-05-14T13:32:00.000+02:00
37639,2015-06-30T13:37:00.000+02:00
40192,2015-07-21T13:33:00.000+02:00
36939,2015-08-31T13:56:00.000+02:00
35873,2015-09-01T13:21:00.000+02:00
33523,2015-10-28T19:58:00.000+01:00
37538,2015-11-24T19:55:00.000+01:00
37002,2015-12-01T20:19:00.000+01:00
38391,2016-01-19T19:47:00.000+01:00
38464,2016-02-17T20:37:00.000+01:00
38274,2016-03-09T20:18:00.000+01:00
34947,2016-04-05T21:17:00.000+02:00
32830,2016-05-10T13:29:00.000+02:00
35973,2016-06-28T13:38:00.000+02:00
38556,2016-07-11T13:24:00.000+02:00
37147,2016-08-03T13:23:00.000+02:00
40489,2016-09-06T13:32:00.000+02:00
34293,2016-10-04T20:49:00.000+02:00
36881,2016-11-29T20:20:00.000+01:00
38011,2016-12-19T19:54:00.000+01:00
41381,2017-01-18T19:50:00.000+01:00
36974,2017-02-09T20:26:00.000+01:00
35935,2017-03-23T20:33:00.000+01:00
33429,2017-04-05T21:20:00.000+02:00
34390,2017-05-25T13:29:00.000+02:00
39379,2017-06-21T13:39:00.000+02:00
39536,2017-07-13T13:36:00.000+02:00
39082,2017-08-04T13:52:00.000+02:00
36396,2017-09-06T13:35:00.000+02:00
34586,2017-10-05T20:42:00.000+02:00
38703,2017-11-30T20:21:00.000+01:00
39580,2017-12-04T20:28:00.000+01:00
39770,2018-01-09T20:24:00.000+01:00
40947,2018-02-08T20:24:00.000+01:00
38946,2018-03-20T20:43:00.000+01:00
36137,2018-04-11T10:11:00.000+02:00
32975,2018-05-23T13:17:00.000+02:00
37045,2018-06-27T13:43:00.000+02:00
37967,2018-07-09T13:34:00.000+02:00
39996,2018-08-03T13:45:00.000+02:00
37292,2018-09-03T13:24:00.000+02:00
36287,2018-10-30T20:23:00.000+01:00
37180,2018-11-29T19:47:00.000+01:00
37832,2018-12-18T20:17:00.000+01:00
40455,2019-01-22T20:08:00.000+01:00
38722,2019-02-04T20:44:00.000+01:00
35599,2019-03-06T20:24:00.000+01:00
34980,2019-04-08T21:14:00.000+02:00
32915,2019-05-31T12:48:00.000+02:00
38174,2019-06-28T13:47:00.000+02:00
40021,2019-07-23T13:25:00.000+02:00
37573,2019-08-09T13:47:00.000+02:00
37168,2019-09-04T13:22:00.000+02:00
34007,2019-10-23T20:58:00.000+02:00
37936,2019-11-19T20:36:00.000+01:00
37631,2019-12-12T20:36:00.000+01:00
40423,2020-01-20T20:22:00.000+01:00
35524,2020-02-12T20:34:00.000+01:00
35355,2020-03-03T20:42:00.000+01:00
29026,2020-04-01T21:06:00.000+02:00
31024,2020-05-27T13:44:00.000+02:00
35609,2020-06-30T13:29:00.000+02:00
38972,2020-07-30T13:54:00.000+02:00
37850,2020-08-27T13:48:00.000+02:00
35009,2020-09-16T13:25:00.000+02:00
33371,2020-10-28T20:24:00.000+01:00
35645,2020-11-24T20:37:00.000+01:00
37921,2020-12-09T20:30:00.000+01:00
42225,2021-01-08T14:05:00.000+01:00
36761,2021-02-09T13:28:00.000+01:00
35579,2021-03-09T20:38:00.000+01:00
33344,2021-04-15T21:17:00.000+02:00
31666,2021-05-31T13:38:00.000+02:00
34895,2021-06-15T13:41:00.000+02:00
37385,2021-07-22T14:43:00.000+02:00
35024,2021-08-13T14:24:00.000+02:00
35196,2021-09-07T13:48:00.000+02:00
31908,2021-10-28T20:23:00.000+02:00
36707,2021-11-29T20:36:00.000+01:00
37171,2021-12-02T20:28:00.000+01:00
37926,2022-01-19T20:10:00.000+01:00
36291,2022-02-01T20:23:00.000+01:00
34446,2022-03-07T20:28:00.000+01:00
35198,2022-04-05T10:50:00.000+02:00
32127,2022-05-20T13:48:00.000+02:00
37870,2022-06-15T14:26:00.000+02:00
38284,2022-07-14T14:19:00.000+02:00
36435,2022-08-02T14:37:00.000+02:00
34291,2022-09-12T14:28:00.000+02:00
31442,2022-10-20T20:37:00.000+02:00
33954,2022-11-30T20:19:00.000+01:00
34346,2022-12-12T20:49:00.000+01:00
39101,2023-01-24T20:43:00.000+01:00
38100,2023-02-01T20:55:00.000+01:00
37681,2023-03-02T20:51:00.000+01:00
